title,reference_no,closing_date,opening_date,url,organisation,tender_id,tender_type,description,value,location,published_date,bid_opening_date,bid_submission_end,pdf_files
,EE/CD-IX/NIT/06/2026-27,23-Apr-2026 03:00 PM,23-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SK%2BdKA4SzzFWOUyPx0p%2B%2Fsg%3D%3D,,,,,,,,,,
,EE/CD-IX/NIT/05/2026-27,23-Apr-2026 03:00 PM,23-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SBLxZ%2BlBjLwM5txtJUpI4pA%3D%3D,,,,,,,,,,
,EE/CD-II/ACS/W-09/2026-27,20-Apr-2026 03:00 PM,20-Apr-2026 03:15 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S8eHPpvvcZctv%2B2shu8qMmw%3D%3D,,,,,,,,,,
,01/EE/CBMD M-323/PWD/2026-27,21-Apr-2026 03:00 PM,21-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SrOxwjrlA6i09gk75HaEDFA%3D%3D,,,,,,,,,,
,03/EE/CBMD M-323/PWD/2026-27,21-Apr-2026 03:00 PM,21-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sk3%2FOaHz7vVJlfYaNW2drmA%3D%3D,,,,,,,,,,
,02/EE/CBMD M-323/PWD/2026-27,21-Apr-2026 03:00 PM,21-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S2x8ASkgKsTdRxfZP911QHg%3D%3D,,,,,,,,,,
,05/NIT/CE(EAST)M/PWD/2026-27,27-Apr-2026 03:00 PM,27-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S%2B703LiOey6Y4w7PY4xY8xg%3D%3D,,,,,,,,,,
,116/EE/CBMD M-323/PWD/2025-26,20-Apr-2026 03:00 PM,20-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SPE4%2FOHU3kl1DNEmghAGxhQ%3D%3D,,,,,,,,,,
,04/EE/PWD/SER-1/2026-27,20-Apr-2026 03:00 PM,20-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sxe4eROjXRkX3l0LAG%2BTzhA%3D%3D,,,,,,,,,,
,04/EE/NBD/PWD/2026-27,20-Apr-2026 03:00 PM,20-Apr-2026 03:30 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SqTV8UVr5A7a7EAqH6HpMvw%3D%3D,,,,,,,,,,
Defence,,8484/E8,06-May-2026 06:00 PM,08-May-2026 10:00 AM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SYFtI8Y7oh1l4rNbcYc2mVA%3D%3D,,,,,,,,,,
Defence,,8990/NAR/E8,05-May-2026 06:00 PM,07-May-2026 12:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SRZRAfvC8CRjIiSXhd8Ob6A%3D%3D,,,,,,,,,,
Defence,,8481/E8,06-May-2026 06:00 PM,08-May-2026 10:00 AM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S%2BuGPX%2BbcT8L8H3roaO%2BS9g%3D%3D,,,,,,,,,,
Defence,,8473/E8,06-May-2026 06:00 PM,08-May-2026 10:00 AM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SISV0MYFjr1G215f455x%2FYw%3D%3D,,,,,,,,,,
Defence,,OT/EC/3/2026-27/2288,23-Apr-2026 06:00 PM,24-Apr-2026 09:20 AM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Saj1NmkKvtc0fh1KVeWMk3A%3D%3D,,,,,,,,,,
Defence,,GE(I)CG/VIZ/TOKEN/14 OF 2026-27,05-May-2026 06:00 PM,07-May-2026 09:00 AM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SA9dmvSV%2BKqhORPn%2F1owVLw%3D%3D,,,,,,,,,,
Defence,,GE(I)CG/VIZ/TOKEN/08 OF 2026-27,05-May-2026 06:00 PM,07-May-2026 09:00 AM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S4oforDDGQ1iof8WjSTwCpg%3D%3D,,,,,,,,,,
Defence,,GE (AF) T-87 OF 2025-26 (8600),27-Apr-2026 06:00 PM,04-May-2026 09:00 AM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=So7t%2FYl9x2CwVnndfk4u6XA%3D%3D,,,,,,,,,,
Defence,,GE (AF) T-85 OF 2025-26 (8598),27-Apr-2026 06:00 PM,04-May-2026 09:00 AM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SyGsozpU1DoKFgKiTxPnmHA%3D%3D,,,,,,,,,,
Defence,,OT/EC/3/2026-27/2204,23-Apr-2026 06:00 PM,24-Apr-2026 09:00 AM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SvhvXcM7jZEUNzBcso3MGkA%3D%3D,,,,,,,,,,
BHEL,,EN-SAC-1747,15-Apr-2026 12:00 PM,15-Apr-2026 02:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SNPqktajtBS9c%2F5SsjCTkGQ%3D%3D,,,,,,,,,,
BHEL,,C8A1Z31607,20-Apr-2026 11:00 AM,20-Apr-2026 02:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SzavdZUO%2F0I71LwxCN3f4Fg%3D%3D,,,,,,,,,,
BHEL,,C8A1Z39786,20-Apr-2026 11:00 AM,20-Apr-2026 02:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S3BmbCxNSOeJ9ClgAfdVreA%3D%3D,,,,,,,,,,
BHEL,,MVME000712,20-Apr-2026 01:00 PM,20-Apr-2026 02:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SIZDFLO9mbss9%2Fbb13CzKCQ%3D%3D,,,,,,,,,,
BHEL,,E5863002 IM3302 GEAR CASE ASSY,24-Apr-2026 11:00 AM,24-Apr-2026 11:15 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SvFaDLZ7B32Gm4Xk2vi0yfQ%3D%3D,,,,,,,,,,
BHEL,,TE-C1D1Z02540,23-Apr-2026 12:00 PM,23-Apr-2026 03:30 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sq1STUmV0QrfQ89MN5ojxbg%3D%3D,,,,,,,,,,
BHEL,,E1763000,20-Apr-2026 03:00 PM,20-Apr-2026 03:05 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=ShoqARX2HaMBfX67Yw%2Fd84Q%3D%3D,,,,,,,,,,
BHEL,,CC/ADVT/01/2026-27,23-Apr-2026 11:00 AM,23-Apr-2026 11:30 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SNUzwhQokTO8JJN78WCppcw%3D%3D,,,,,,,,,,
